## START METADATA ##
LevelNumber,2
Budget,5
## END METADATA ##
## START TERRAIN ##
..........
1PPP......
...PPPPPPP
..........
...PPPPPPP
2PPP......
..........
..........
## END TERRAIN ##
## START ENEMIES ##
Enemy Type,Level,Wave Index,Path Index
Grunt,1,1,1
Grunt,1,1,1
Grunt,1,2,1
Grunt,1,2,1
Grunt,1,3,1
Grunt,1,3,1
Grunt,1,3,1
Heavy,1,2,1
Heavy,1,3,1
Heavy,1,3,1
Grunt,1,1,2
Grunt,1,1,2
Grunt,1,2,2
Grunt,1,2,2
Grunt,1,3,2
Grunt,1,3,2
Grunt,1,3,2
Heavy,1,2,2
Heavy,1,3,2
Heavy,1,3,2
## END ENEMIES ##
